id_incidencia,email_cliente,canal_entrada,sector_cliente,categoria,estado,puntuacion_satisfaccion
1,cliente1@empresa.com,email,finanzas,queja,descartado,
2,cliente2@empresa.com,telefono,tech,solicitud,cerrado,59
3,cliente3@empresa.com,chat_web,tech,fallo_operativo,descartado,
4,cliente4@empresa.com,telefono,finanzas,solicitud,cerrado,44
5,cliente5@empresa.com,email,tech,solicitud,cerrado,52
6,cliente6@empresa.com,chat_web,tech,queja,cerrado,19
7,cliente7@empresa.com,telefono,finanzas,solicitud,cerrado,45
8,cliente8@empresa.com,chat_web,retail,fallo_operativo,abierto,
9,cliente9@empresa.com,chat_web,retail,queja,cerrado,96
10,cliente10@empresa.com,telefono,tech,fallo_operativo,estado_inventado,
11,cliente11@empresa.com,chat_web,retail,solicitud,descartado,
12,cliente12@empresa.com,chat_web,tech,queja,cerrado,79
13,cliente13@empresa.com,chat_web,finanzas,fallo_operativo,abierto,
14,cliente14@empresa.com,chat_web,retail,queja,cerrado,30
15,cliente15@empresa.com,email,finanzas,queja,abierto,
16,cliente16@empresa.com,email,tech,solicitud,descartado,
17,cliente17@empresa.com,telefono,retail,solicitud,descartado,
18,cliente18@empresa.com,chat_web,finanzas,fallo_operativo,cerrado,32
19,cliente19@empresa.com,email,tech,queja,abierto,
20,cliente20@empresa.com,email,retail,fallo_operativo,estado_inventado,
21,cliente21@empresa.com,chat_web,finanzas,fallo_operativo,abierto,
22,cliente22@empresa.com,telefono,retail,solicitud,descartado,
23,cliente23@empresa.com,telefono,tech,queja,abierto,
24,cliente24@empresa.com,telefono,finanzas,fallo_operativo,cerrado,72
25,cliente25@empresa.com,telefono,finanzas,fallo_operativo,descartado,
26,cliente26@empresa.com,telefono,finanzas,solicitud,abierto,
27,cliente27@empresa.com,telefono,finanzas,queja,cerrado,48
28,cliente28@empresa.com,chat_web,tech,solicitud,abierto,
29,cliente29@empresa.com,telefono,finanzas,fallo_operativo,descartado,
30,,telefono,retail,solicitud,cerrado,80
31,cliente31@empresa.com,chat_web,tech,solicitud,descartado,
32,cliente32@empresa.com,chat_web,finanzas,queja,abierto,
33,cliente33@empresa.com,chat_web,retail,fallo_operativo,cerrado,41
34,cliente34@empresa.com,email,finanzas,queja,cerrado,32
35,cliente35@empresa.com,telefono,retail,fallo_operativo,abierto,
36,cliente36@empresa.com,telefono,tech,fallo_operativo,descartado,
37,cliente37@empresa.com,telefono,retail,solicitud,abierto,
38,cliente38@empresa.com,email,retail,solicitud,descartado,
39,cliente39@empresa.com,chat_web,tech,fallo_operativo,cerrado,34
40,cliente40@empresa.com,telefono,retail,solicitud,estado_inventado,
41,cliente41@empresa.com,telefono,finanzas,solicitud,descartado,
42,cliente42@empresa.com,email,finanzas,queja,descartado,
43,cliente43@empresa.com,email,tech,queja,cerrado,97
44,cliente44@empresa.com,chat_web,tech,solicitud,abierto,
45,cliente45@empresa.com,email,tech,fallo_operativo,cerrado,38
46,cliente46@empresa.com,email,tech,solicitud,abierto,
47,cliente47@empresa.com,chat_web,retail,solicitud,abierto,
48,cliente48@empresa.com,chat_web,finanzas,solicitud,descartado,
49,cliente49@empresa.com,chat_web,tech,queja,descartado,
50,,telefono,retail,solicitud,descartado,
51,cliente51@empresa.com,chat_web,finanzas,solicitud,descartado,
52,cliente52@empresa.com,chat_web,retail,solicitud,abierto,
53,cliente53@empresa.com,chat_web,tech,queja,descartado,
54,cliente54@empresa.com,email,retail,queja,cerrado,43
55,cliente55@empresa.com,email,finanzas,queja,descartado,
56,cliente56@empresa.com,telefono,retail,solicitud,abierto,
57,cliente57@empresa.com,email,retail,solicitud,cerrado,20
58,cliente58@empresa.com,chat_web,finanzas,fallo_operativo,descartado,
59,cliente59@empresa.com,chat_web,retail,queja,cerrado,59
60,cliente60@empresa.com,chat_web,finanzas,fallo_operativo,estado_inventado,32
61,cliente61@empresa.com,telefono,retail,solicitud,descartado,
62,cliente62@empresa.com,telefono,finanzas,solicitud,descartado,
63,cliente63@empresa.com,chat_web,finanzas,queja,abierto,
64,cliente64@empresa.com,email,tech,queja,abierto,
65,cliente65@empresa.com,telefono,retail,queja,abierto,
66,cliente66@empresa.com,email,finanzas,fallo_operativo,cerrado,12
67,cliente67@empresa.com,email,retail,fallo_operativo,descartado,
68,cliente68@empresa.com,chat_web,retail,solicitud,descartado,
69,cliente69@empresa.com,telefono,retail,queja,descartado,
70,cliente70@empresa.com,telefono,finanzas,queja,estado_inventado,69
71,cliente71@empresa.com,chat_web,tech,solicitud,abierto,
72,cliente72@empresa.com,telefono,tech,fallo_operativo,descartado,
73,cliente73@empresa.com,telefono,tech,solicitud,abierto,
74,cliente74@empresa.com,chat_web,finanzas,queja,descartado,
75,cliente75@empresa.com,telefono,tech,fallo_operativo,abierto,
76,cliente76@empresa.com,chat_web,retail,solicitud,cerrado,21
77,cliente77@empresa.com,email,finanzas,solicitud,abierto,
78,cliente78@empresa.com,chat_web,finanzas,solicitud,cerrado,76
79,cliente79@empresa.com,email,finanzas,solicitud,descartado,
80,cliente80@empresa.com,telefono,retail,queja,estado_inventado,42
81,cliente81@empresa.com,email,retail,solicitud,cerrado,20
82,cliente82@empresa.com,email,tech,queja,cerrado,83
83,cliente83@empresa.com,telefono,retail,fallo_operativo,cerrado,50
84,cliente84@empresa.com,chat_web,finanzas,queja,cerrado,10
85,cliente85@empresa.com,email,tech,queja,abierto,
86,cliente86@empresa.com,email,tech,fallo_operativo,abierto,
87,cliente87@empresa.com,telefono,retail,solicitud,cerrado,14
88,cliente88@empresa.com,chat_web,tech,fallo_operativo,cerrado,14
89,cliente89@empresa.com,telefono,tech,solicitud,descartado,
90,,email,tech,solicitud,abierto,
91,cliente91@empresa.com,email,retail,fallo_operativo,abierto,
92,cliente92@empresa.com,telefono,retail,solicitud,abierto,
93,cliente93@empresa.com,email,finanzas,queja,cerrado,86
94,cliente94@empresa.com,chat_web,retail,fallo_operativo,cerrado,43
95,cliente95@empresa.com,email,finanzas,solicitud,cerrado,39
96,cliente96@empresa.com,email,retail,fallo_operativo,abierto,
97,cliente97@empresa.com,email,tech,queja,abierto,
98,cliente98@empresa.com,email,tech,fallo_operativo,abierto,
99,cliente99@empresa.com,telefono,finanzas,fallo_operativo,descartado,
100,cliente100@empresa.com,telefono,finanzas,categoria_inventada,descartado,
